Date,Open,High,Low,Close,Adj Close,Volume,MA5
25-11-2024,141.99,142.05,135.82,136.02,136.02,344941900,
22-11-2024,145.93,147.16,141.1,141.95,141.95,236406200,
21-11-2024,149.35,152.89,140.7,146.67,146.67,400946600,
20-11-2024,147.41,147.56,142.73,145.89,145.89,309871700,
19-11-2024,141.32,147.13,140.99,147.01,147.01,227834900,143.508
18-11-2024,139.5,141.55,137.15,140.15,140.15,221866000,144.334
15-11-2024,144.87,145.24,140.08,141.98,141.98,250132900,144.34
14-11-2024,147.64,149,145.55,146.76,146.76,194463300,144.358
13-11-2024,149.07,149.33,145.9,146.27,146.27,191903300,144.434
12-11-2024,146.78,149.65,146.01,148.29,148.29,198634700,144.69
11-11-2024,148.68,148.85,143.57,145.26,145.26,182325600,145.712
08-11-2024,148.77,149.77,146.26,147.63,147.63,175665800,146.842
07-11-2024,146.39,148.93,146.17,148.88,148.88,207323300,147.266
06-11-2024,142.96,146.49,141.96,145.61,145.61,242043900,147.134
05-11-2024,137.45,140.37,137.33,139.91,139.91,160537400,145.458
04-11-2024,137.21,138.96,135.57,136.05,136.05,187528200,143.616
01-11-2024,134.7,137.31,134.57,135.4,135.4,207127800,141.17
31-10-2024,137.6,137.61,132.11,132.76,132.76,270039600,137.946
30-10-2024,139.54,140.33,136.81,139.34,139.34,179418100,136.692
29-10-2024,140.29,142.26,138.9,141.25,141.25,157593600,136.96
28-10-2024,143,143.14,140.05,140.52,140.52,173586700,137.854
25-10-2024,140.93,144.13,140.8,141.54,141.54,205122100,139.082
24-10-2024,140.82,141.35,138.46,140.41,140.41,172354900,140.612
23-10-2024,142.03,142.43,137.46,139.56,139.56,285930000,140.656
22-10-2024,142.91,144.42,141.78,143.59,143.59,226311600,141.124
21-10-2024,138.13,143.71,138,143.71,143.71,264554500,141.762
18-10-2024,138.67,138.9,137.28,138,138,176090200,141.054
17-10-2024,139.34,140.89,136.87,136.93,136.93,306435900,140.358
16-10-2024,133.98,136.62,131.58,135.72,135.72,264879700,139.59
15-10-2024,137.87,138.57,128.74,131.6,131.6,377831000,137.192
14-10-2024,136.47,139.6,136.3,138.07,138.07,232347700,136.064
11-10-2024,134.01,135.78,133.66,134.8,134.8,170209500,135.424
10-10-2024,131.91,135,131,134.81,134.81,242311300,135
09-10-2024,134.11,134.52,131.38,132.65,132.65,246191600,134.386
08-10-2024,130.26,133.48,129.42,132.89,132.89,285722500,134.644
07-10-2024,124.99,130.64,124.95,127.72,127.72,346250200,132.574
04-10-2024,124.94,125.04,121.83,124.92,124.92,243678100,130.598
03-10-2024,120.92,124.36,120.34,122.85,122.85,277118000,128.206
02-10-2024,116.44,119.38,115.14,118.85,118.85,221845900,125.446
01-10-2024,121.77,122.44,115.79,117,117,302094500,122.268
30-09-2024,118.31,121.5,118.15,121.44,121.44,226553700,121.012
27-09-2024,123.97,124.03,119.26,121.4,121.4,271009200,120.308
