Date,Open,High,Low,Close,Adj Close,Volume,MA5
25-11-2024,3.215,3.49,3.215,3.485,3.485,50346000,
22-11-2024,3.05,3.25,3,3.215,3.215,56768000,
21-11-2024,2.91,3.27,2.76,3.02,3.02,77934500,
20-11-2024,3,3.18,2.992,3.06,3.06,48948800,
19-11-2024,3.28,3.29,3,3.015,3.015,42710700,3.159
18-11-2024,3.36,3.47,3.27,3.335,3.335,45366400,3.129
15-11-2024,3.12,3.33,3.115,3.245,3.245,34972000,3.135
14-11-2024,3.015,3.1,2.95,3.045,3.045,36528700,3.14
13-11-2024,2.96,3.087,2.945,3.065,3.065,36499900,3.141
12-11-2024,3.05,3.085,2.93,2.985,2.985,43948700,3.135
11-11-2024,2.98,3.19,2.97,3.115,3.115,27472400,3.091
08-11-2024,2.98,3.08,2.93,3.025,3.025,25967400,3.047
07-11-2024,3.08,3.085,2.97,2.975,2.975,24448700,3.033
06-11-2024,3.23,3.28,3.06,3.12,3.12,33427700,3.044
05-11-2024,3.51,3.52,3.36,3.385,3.385,23600900,3.124
04-11-2024,3.525,3.61,3.43,3.58,3.58,36497400,3.217
01-11-2024,3.66,3.665,3.51,3.62,3.62,35608000,3.336
31-10-2024,3.53,3.8,3.53,3.775,3.775,31428700,3.496
30-10-2024,3.43,3.56,3.39,3.445,3.445,28388500,3.561
29-10-2024,3.4,3.466,3.3,3.345,3.345,18034200,3.553
28-10-2024,3.27,3.408,3.265,3.39,3.39,17747200,3.515
25-10-2024,3.365,3.37,3.21,3.33,3.33,37453300,3.457
24-10-2024,3.37,3.49,3.34,3.395,3.395,27921900,3.381
23-10-2024,3.31,3.525,3.305,3.43,3.43,36970400,3.378
22-10-2024,3.28,3.33,3.21,3.25,3.25,33964400,3.359
21-10-2024,3.53,3.53,3.24,3.245,3.245,44907500,3.33
18-10-2024,3.495,3.57,3.49,3.535,3.535,21464700,3.371
17-10-2024,3.46,3.59,3.38,3.585,3.585,37134000,3.409
16-10-2024,3.755,3.895,3.6,3.655,3.655,33277400,3.454
15-10-2024,3.575,4.04,3.538,3.9,3.9,43506100,3.584
14-10-2024,3.655,3.66,3.47,3.56,3.56,25871700,3.647
11-10-2024,3.78,3.8,3.684,3.745,3.745,15443700,3.689
10-10-2024,3.9,3.94,3.73,3.745,3.745,27325900,3.721
09-10-2024,3.78,3.94,3.76,3.86,3.86,24455600,3.762
08-10-2024,4.02,4.075,3.81,3.855,3.855,23540300,3.753
07-10-2024,4.38,4.39,3.984,4.185,4.185,27420800,3.878
04-10-2024,4.38,4.61,4.375,4.39,4.39,17266700,4.007
03-10-2024,4.7,4.73,4.415,4.53,4.53,20573500,4.164
02-10-2024,5.07,5.18,4.81,4.87,4.87,16653300,4.366
01-10-2024,4.65,5.1,4.59,5.02,5.02,20471000,4.599
30-09-2024,4.83,4.92,4.66,4.67,4.67,18303000,4.696
27-09-2024,4.48,4.82,4.48,4.675,4.675,18400000,4.753
26-09-2024,4.28,4.645,4.21,4.49,4.49,25109700,4.745
25-09-2024,4.64,4.66,4.4,4.52,4.52,23004700,4.675
24-09-2024,5.12,5.21,4.64,4.72,4.72,26276800,4.615
23-09-2024,5.105,5.25,5.065,5.12,5.12,14680900,4.705
20-09-2024,5.07,5.2,4.94,5.14,5.14,15212900,4.798
19-09-2024,5.05,5.05,4.83,4.985,4.985,13877200,4.897
18-09-2024,5.18,5.43,5.02,5.42,5.42,17013800,5.077
17-09-2024,4.98,5.28,4.935,5.2,5.2,15766000,5.173
16-09-2024,5.12,5.301,4.995,5.11,5.11,13235500,5.171
13-09-2024,4.93,5.04,4.85,4.93,4.93,12353400,5.129
12-09-2024,5.12,5.245,4.78,4.91,4.91,21836700,5.114
11-09-2024,5.955,6.18,5.085,5.12,5.12,27931400,5.054
10-09-2024,6.14,6.48,5.95,6.115,6.115,11971500,5.237
09-09-2024,6.5,6.66,6.282,6.29,6.29,15630000,5.473
06-09-2024,6.16,6.99,6.15,6.765,6.765,21465100,5.84
05-09-2024,6.53,6.545,5.965,6.255,6.255,21258400,6.109
04-09-2024,6.51,6.62,5.94,6.38,6.38,26398200,6.361
03-09-2024,5.47,6.23,5.46,6.17,6.17,24413900,6.372
30-08-2024,5.16,5.375,4.96,5.17,5.17,19364800,6.148
29-08-2024,5.05,5.41,4.82,5.34,5.34,29422500,5.863
28-08-2024,4.56,4.941,4.545,4.735,4.735,32613100,5.559
27-08-2024,4.78,4.87,4.475,4.545,4.545,14407100,5.192
26-08-2024,4.465,4.82,4.34,4.675,4.675,18637000,4.893
23-08-2024,4.75,4.79,4.457,4.49,4.49,12578700,4.757
22-08-2024,4.475,4.96,4.42,4.91,4.91,12621400,4.671
21-08-2024,4.67,4.715,4.52,4.59,4.59,9661200,4.642
20-08-2024,4.6,4.77,4.49,4.675,4.675,11329200,4.668
19-08-2024,4.92,4.99,4.483,4.49,4.49,12116300,4.631
16-08-2024,5.12,5.18,4.87,4.91,4.91,13308700,4.715
15-08-2024,5.43,5.55,5.01,5.04,5.04,10546800,4.741
14-08-2024,5.44,5.88,5.44,5.5,5.5,11982400,4.923
13-08-2024,6.12,6.22,5.67,5.67,5.67,10399700,5.122
12-08-2024,6.88,6.89,6.26,6.51,6.51,12899400,5.526
09-08-2024,7.02,7.28,6.86,7.11,7.11,7936000,5.966
08-08-2024,7.55,8.28,6.992,7.06,7.06,13660200,6.37
07-08-2024,6.83,8.1,6.681,8.1,8.1,14705900,6.89
06-08-2024,7.38,7.895,6.76,7.34,7.34,18236800,7.224
05-08-2024,8.97,9.19,7.521,7.87,7.87,25288000,7.496
02-08-2024,7.47,7.745,6.835,7.01,7.01,24362700,7.476
01-08-2024,5.9,7,5.65,6.73,6.73,26060900,7.41
31-07-2024,6.6,6.9,5.78,5.97,5.97,20181300,6.984
30-07-2024,7.01,8.13,6.96,7.995,7.995,14792800,7.115
29-07-2024,6.75,7.03,6.42,7.005,7.005,7693300,6.942
26-07-2024,6.46,6.993,6.43,6.82,6.82,10627200,6.904
25-07-2024,6.825,7.61,6.4,6.9,6.9,23572600,6.938
24-07-2024,6.205,6.745,6.14,6.665,6.665,14137300,7.077
23-07-2024,5.865,5.915,5.68,5.885,5.885,5784900,6.655
22-07-2024,6.11,6.17,5.725,5.76,5.76,12255800,6.406
19-07-2024,6.14,6.44,6.02,6.38,6.38,9595800,6.318
18-07-2024,5.97,6.55,5.93,6.05,6.05,16267300,6.148
17-07-2024,6.11,6.51,6.05,6.4,6.4,18798100,6.095
16-07-2024,,,,,1:3 Stock Splits,,
16-07-2024,5.46,5.8,5.415,5.64,5.64,12097300,
15-07-2024,5.31,5.58,5.22,5.46,5.46,5893267,
12-07-2024,5.49,5.58,5.16,5.4,5.4,10792200,
11-07-2024,4.92,5.58,4.89,5.535,5.535,10572467,
10-07-2024,5.07,5.19,4.98,4.98,4.98,6450833,5.403
09-07-2024,5.37,5.52,5.07,5.31,5.31,8807600,5.337
08-07-2024,5.625,5.655,5.31,5.52,5.52,7545000,5.349
05-07-2024,5.61,5.79,5.49,5.775,5.775,4169233,5.424
03-07-2024,6.21,6.228,5.55,5.565,5.565,6398133,5.43
02-07-2024,6.21,6.255,6.03,6.12,6.12,4114967,5.658
01-07-2024,6.06,6.48,5.895,5.955,5.955,8937767,5.787
28-06-2024,5.91,6.09,5.61,6.045,6.045,7940500,5.892
27-06-2024,5.94,6.06,5.745,5.94,5.94,5406033,5.925
26-06-2024,5.79,6.12,5.58,5.73,5.73,9761700,5.958
25-06-2024,6.36,6.525,5.76,5.76,5.76,12812533,5.886
